Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr16	67227177	67232177	5001	18	Island;Shore;Shelf;Open sea	Active TSS;Flanking Active TSS;Genic enhancers;Strong transcription	Active TSS;Flanking Active TSS;Transcr. at gene 5' and 3';Genic enhancers;Strong transcription	LRRC29;TMEM208;FHOD1	-0.0096	-0.00432222222222222	1.49750322587998e-81	2.33999099966354e-33	4.20023014758938e-124
chr6	30599855	30601433	1579	12	Open sea	Weak transcription;Strong transcription	Weak transcription;Strong transcription	PPP1R10	-0.0107	-0.00554166666666667	3.7368750274276e-76	2.85260673535379e-37	2.35370743723694e-121
chr10	75097903	75100587	2685	14	Open sea	Genic enhancers;Weak transcription;Flanking Active TSS	Strong transcription;Weak transcription;Enhancers;Flanking Active TSS	DUSP13;SAMD8	-0.0157	-0.00618571428571429	9.58689678871526e-93	5.19424899511625e-28	8.22055657994718e-121
chr14	102496840	102499217	2378	12	Open sea	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Transcr. at gene 5' and 3'	TECPR2	-0.018	-0.00904166666666667	3.33590973807085e-103	8.54431993489906e-27	9.36107532789898e-120
chr5	139389792	139394229	4438	18	Shelf;Shore;Island	Transcr. at gene 5' and 3';Genic enhancers	Genic enhancers;Flanking Active TSS;Active TSS	MZB1;SLC23A1;PROB1	-0.0129	-0.00533888888888889	4.57348701935269e-81	1.34530628060369e-23	8.90601255215538e-117
chr13	113399547	113403703	4157	18	Shelf;Shore;Island	Enhancers;Flanking Active TSS;Bivalent Enhancer	Enhancers	RP11-102K13.5	-0.0207	-0.00728888888888889	5.23379870941064e-87	1.78630950116632e-26	1.69185729810653e-116
chr2	127059453	127060649	1197	7	Shore;Island	Genic enhancers	Genic enhancers		-0.0212	-0.0116285714285714	7.85499195575028e-86	2.4984001e-43	4.06332026482567e-116
chr6	30682131	30690715	8585	81	Open sea;Shelf;Shore;Island	Flanking Active TSS;Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Active TSS;Enhancers	PPP1R18;AL662797.1;NRM	0.0084	0.00299382716049383	7.70396781428751e-76	8.63021815082941e-08	2.29531587236883e-110
chr3	44761056	44762726	1671	18	Shore;Island	Flanking Active TSS;Transcr. at gene 5' and 3';Quiescent/Low	Active TSS;Flanking Active TSS;Enhancers;Quiescent/Low	KIAA1143;KIF15	0.0293	0.00372777777777778	3.84818175526136e-19	1.8435834e-58	1.38101441741355e-109
chr13	113483703	113485391	1689	9	Open sea	Enhancers	Flanking Active TSS;Enhancers	DCUN1D2	-0.0196	-0.0104666666666667	4.42271830432515e-98	1.497394797625e-31	3.65845910386935e-108
chr15	99129764	99132776	3013	18	Open sea	Strong transcription;Genic enhancers	Genic enhancers	SYNM;RP11-6O2.4	-0.0213	-0.00508888888888889	3.82893659051503e-51	7.48440179779869e-46	4.21292910745164e-107
chr6	11043397	11045136	1740	11	Shore;Island	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Repressed PolyComb	ELOVL2-AS1;ELOVL2	0.0165	0.00428181818181818	6.3232456278335e-31	4.46799594804548e-42	1.42163809209604e-104
chr7	135147378	135148582	1205	13	Open sea	Active TSS	Flanking Active TSS;Active TSS	TMEM140;AGBL3;C7orf49	-0.0169	-0.00871538461538461	6.63817147951454e-84	2.11400007407063e-31	4.14480409969692e-102
chr15	96324884	96329954	5071	26	Shore;Shelf	Bivalent/Poised TSS;Repressed PolyComb;Flanking Bivalent TSS/Enh;Weak Repressed PolyComb	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Flanking Active TSS;Active TSS	NR2F2-AS1;NR2F2	-0.0154	-0.00566538461538462	1.02799951676552e-52	7.75407658166158e-23	1.08190927505898e-100
chr16	1557819	1561971	4153	20	Shelf;Open sea	Strong transcription;Genic enhancers	Strong transcription;Genic enhancers	IFT140;TMEM204	0.0113	0.00579	6.81367542517053e-100	1.48599612696813e-14	2.23206039958522e-100
chr7	128852190	128855146	2957	13	Shore;Island	Genic enhancers	Genic enhancers		-0.0124	-0.00544615384615385	4.87884286807507e-80	7.12421256615379e-21	1.8068707337328e-97
chr16	88895375	88902603	7229	25	Island;Shore	Flanking Active TSS;Transcr. at gene 5' and 3';Weak transcription;Strong transcription;Enhancers	Flanking Active TSS;Enhancers;Weak transcription	CBFA2T3	-0.0176	-0.00056	4.31199269502791e-57	9.90783150066741e-23	2.41657943146806e-96
chr22	27795233	27796805	1573	4	Shore;Island	Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Active TSS;Transcr. at gene 5' and 3'	MN1	-0.0131	-0.010425	2.97778900143845e-83	4.39692799999924e-41	2.14825479975903e-92
chr2	105396711	105400549	3839	20	Shore;Island	Flanking Active TSS;Active TSS;ZNF genes & repeats;Weak transcription	Flanking Active TSS;Active TSS;Weak transcription	FHL2	0.0227	0.000625	9.24012590064281e-31	1.64045099945147e-40	4.05124751838476e-92
chr2	27306284	27310625	4342	23	Island;Shore;Shelf	Genic enhancers;Transcr. at gene 5' and 3';Weak transcription	Genic enhancers;Enhancers;Flanking Active TSS;Weak transcription	TRIM54;UCN;MPV17	-0.0174	0.000552173913043478	1.69074222703217e-61	1.33445172e-32	7.04854036757942e-92
chr4	8095970	8097305	1336	6	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	Genic enhancers	ABLIM2	-0.0168	-0.011	4.14578661791646e-82	5.08618910122119e-29	1.04441326437567e-90
chr22	50205931	50209137	3207	16	Shore;Island;Shelf	Genic enhancers	Genic enhancers	SELENOO;LOC105373095	-0.0189	-0.0074625	1.44255739311502e-66	3.76884754440436e-17	6.53457379460792e-90
chr20	62553264	62554691	1428	13	Island;Shore	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Flanking Active TSS	MIR1-1;MIR1-1HG	-0.0129	-0.00489230769230769	6.2065789818511e-73	9.4945851e-33	1.01449586697306e-86
chr16	4113817	4115513	1697	7	Shore;Island	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS	ADCY9	-0.0205	-0.00992857142857143	2.90839943764503e-69	5.6633770217204e-29	3.44661059062659e-86
chr12	3256307	3256668	362	5	Open sea	Enhancers	Enhancers	TSPAN9	-0.0178	-0.01538	9.7702020914504e-88	7.02066686368798e-21	2.46309787984031e-85
chr7	135168892	135170682	1791	14	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	RP11-134L10.1;C7orf49	-0.0158	-0.00538571428571429	7.55559764957672e-40	1.85514967307813e-21	3.1723429721266e-83
chr3	184319670	184320934	1265	11	Open sea	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Active TSS;Transcr. at gene 5' and 3'	EIF4G1;EIF2B5	-0.0169	-0.00598181818181818	8.02964596674824e-49	1.87469082060173e-24	1.61562570791786e-82
chr16	75113601	75117772	4172	18	Shore;Island;Shelf	Genic enhancers;Flanking Active TSS;Quiescent/Low	Genic enhancers;Enhancers;Flanking Active TSS;Active TSS;Quiescent/Low	ZNRF1;WDR59;LDHD	-0.0164	-0.00494444444444444	4.46807850256407e-54	1.6963958157131e-29	1.94711955216787e-82
chr6	31968023	31972337	4315	79	Shelf;Shore;Island	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Active TSS	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Active TSS	SKIV2L;STK19;DXO	-0.0127	-0.000812658227848101	9.54932052910286e-25	6.86739574e-33	3.84255636309578e-82
chr2	127700665	127701270	606	10	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	SFT2D3;WDR33	-0.0103	-0.00657	3.52195158394189e-69	1.6221516838517e-21	6.84248195765608e-82
chr5	179821747	179824298	2552	9	Shore;Shelf	Transcr. at gene 5' and 3';Genic enhancers	Active TSS;Transcr. at gene 5' and 3'	SQSTM1	-0.0119	-0.00574444444444444	8.96688828116972e-54	4.3196337e-39	1.28941213256679e-81
chr19	18009037	18010009	973	5	Shore;Island	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	ARRDC2;CTB-52I2.7	-0.0096	-0.00734	4.31880127070564e-83	8.37336184203597e-25	3.19648887155544e-81
chr3	49720419	49723606	3188	6	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3'	Enhancers;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	GMPPB	-0.0131	-0.00506666666666667	9.22036815907305e-43	1.50167216861152e-38	3.66999587287606e-79
chr2	238138237	238142029	3793	20	Shore;Island	Flanking Active TSS;Transcr. at gene 5' and 3'	Flanking Active TSS;Transcr. at gene 5' and 3'	KLHL30	-0.0166	-0.00524	1.00771122508063e-50	2.39614449387963e-20	6.15329631683434e-79
chr12	108826560	108829018	2459	13	Open sea	Flanking Active TSS;Enhancers;NA;Genic enhancers;Transcr. at gene 5' and 3'	Flanking Active TSS;Enhancers;NA;Genic enhancers	SSH1;SELPLG;CORO1C	0.0115	0.00488461538461538	3.0351814135174e-74	4.7749533856629e-18	1.83488698232308e-78
chr19	53991238	53993356	2119	15	Shore;Island	Active TSS;Flanking Bivalent TSS/Enh;Bivalent/Poised TSS	Active TSS;Flanking Active TSS;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	CACNG6	-0.0149	-0.0043	1.93966273396035e-53	1.35905113695713e-23	5.73219264514354e-78
chr3	50287662	50290672	3011	9	Open sea;Shelf;Shore	Genic enhancers;Strong transcription	Weak transcription;Strong transcription;Genic enhancers;Enhancers	LSMEM2;IFRD2;HYAL3	-0.011	-0.00538888888888889	3.31991026071863e-64	4.11235469950053e-31	1.46398191611467e-77
chr17	17816498	17821372	4875	19	Shelf;Open sea	Genic enhancers;Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Genic enhancers;Flanking Active TSS	SREBF1;ENSG00000264885;DRC3	-0.0107	-0.00531052631578947	1.58316475461981e-57	1.11405562238166e-14	3.16384820809202e-77
chr8	65788958	65791096	2139	9	Open sea	Active TSS;Enhancers	Active TSS;Flanking Active TSS;Enhancers	PDE7A	-0.018	-0.00956666666666667	8.86548276615555e-61	9.66014029363493e-22	1.02240657105442e-76
chr9	131308157	131309268	1112	4	Island;Shore	Genic enhancers	Enhancers		-0.018	-0.00915	7.62563103621618e-65	3.5398792e-42	1.83285218694158e-76
chr11	64752084	64754759	2676	10	Open sea	Transcr. at gene 5' and 3';Genic enhancers	Genic enhancers;Transcr. at gene 5' and 3'	PYGM	-0.0175	-0.0087	1.29051472057057e-71	2.66319699678385e-22	3.58173322670195e-76
chr14	28765075	28767328	2254	27	Shore;Island	Repressed PolyComb;Bivalent Enhancer;Flanking Bivalent TSS/Enh;Weak Repressed PolyComb	Repressed PolyComb;Bivalent Enhancer;Bivalent/Poised TSS;Weak Repressed PolyComb	FOXG1-AS1;FOXG1	0.0103	0.0034037037037037	9.4120033612802e-49	4.53939557090544e-19	3.71685396827959e-76
chr19	3963404	3964913	1510	6	Shore;Island	Strong transcription;Genic enhancers	Genic enhancers	DAPK3	-0.0176	-0.0141166666666667	2.61472517346933e-78	1.58472443248015e-18	8.54967792463929e-76
chr19	3941208	3942970	1763	6	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3'	Enhancers;Flanking Active TSS	NMRK2	-0.0129	-0.00751666666666667	4.31022586174616e-67	4.89150299999883e-30	3.28012485326057e-74
chr14	60506134	60511556	5423	31	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Bivalent Enhancer	Repressed PolyComb;Bivalent Enhancer;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	C14orf39;SIX6	0.0086	0.00501290322580645	9.00219355277547e-77	1.11583222773462e-06	3.79925502670624e-74
chr11	1005231	1009800	4570	21	Shelf;Shore;Island	Strong transcription;Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS;Weak transcription;ZNF genes & repeats	Strong transcription;Weak transcription;Enhancers;Flanking Active TSS;Genic enhancers	AP2A2	-0.0131	-0.00171428571428571	3.80818302036358e-40	3.10388662653984e-23	4.66959501331935e-74
chr7	128848689	128849501	813	6	Open sea	Genic enhancers	Genic enhancers		-0.014	-0.00721666666666667	7.39276783585963e-63	2.96443644122251e-27	1.08609159033426e-73
chr3	12816769	12818372	1604	9	Shore;Shelf	Transcr. at gene 5' and 3';Genic enhancers	Genic enhancers	CAND2	-0.0154	-0.00595555555555556	3.1138090089408e-60	6.34152290218018e-29	3.2018082087947e-73
chr2	178636049	178636559	511	6	Open sea	Genic enhancers	Genic enhancers		-0.0165	-0.0124333333333333	2.94190965187465e-69	2.12382176898705e-21	5.47399369989147e-73
chr20	45254348	45256010	1663	9	Open sea	Flanking Active TSS;Weak Repressed PolyComb	Flanking Active TSS;Enhancers;Weak Repressed PolyComb	SLPI	-0.0118	-0.00511111111111111	8.14557153238397e-47	6.57317426793599e-33	2.06436308606721e-72
chr8	2043698	2045871	2174	18	Open sea	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Active TSS;Flanking Active TSS	Bivalent Enhancer;Flanking Active TSS;Active TSS	MYOM2	-0.0082	-0.00456666666666667	1.88138855104095e-50	3.69897534191054e-18	4.56224101342096e-72
chr1	207801836	207804522	2687	13	Open sea	Weak transcription;Genic enhancers	Strong transcription;Genic enhancers	C1orf132	-0.0209	-0.00521538461538462	1.01202247447167e-40	1.09320146e-38	7.73815553285926e-72
chr13	91398228	91399531	1304	14	Shore;Island	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh	Weak Repressed PolyComb;Flanking Active TSS;Enhancers;Flanking Bivalent TSS/Enh;Bivalent Enhancer	GPC5	0.0163	0.00432857142857143	2.77525567685031e-25	1.31154601640908e-37	1.14537742828172e-71
chr20	37518639	37521658	3020	47	Shore;Island	Transcr. at gene 5' and 3';Flanking Active TSS	Transcr. at gene 5' and 3';Flanking Active TSS	BLCAP;NNAT	-0.0089	-0.00356170212765957	2.83424008950738e-56	4.1688127719391e-07	2.14319123248546e-71
chr3	16883069	16884214	1146	7	Shore;Island	Enhancers;Flanking Active TSS	Flanking Active TSS;Active TSS	PLCL2	-0.0196	-0.0086	6.32499496514029e-57	2.73870790181406e-20	2.92914324915151e-71
chr5	179801634	179805936	4303	15	Island;Shore	Strong transcription;Genic enhancers;Enhancers;Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS;Active TSS	MGAT4B;SQSTM1	-0.009	-0.0044	8.67117887497707e-49	4.835379e-27	4.35719847192805e-71
chr11	47177905	47180542	2638	6	Shore;Shelf	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	ARFGAP2;PACSIN3;MIR6745	-0.0183	-0.0078	9.49651948962687e-51	2.68274999999758e-32	1.57885592173915e-70
chr19	2046085	2047482	1398	10	Island;Shore	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Flanking Active TSS	MKNK2	-0.0142	-0.00773	1.21575704176147e-50	3.151458e-31	1.96984135545721e-70
chr4	185513838	185514866	1029	10	Open sea	Enhancers;Flanking Active TSS	Flanking Active TSS	PDLIM3	-0.0213	-0.00716	9.40613489859922e-37	2.95114201065962e-36	2.39723739923506e-70
chr17	7589205	7591488	2284	14	Island;Shore	Flanking Active TSS;Enhancers;Strong transcription	Flanking Active TSS;Enhancers;Strong transcription	MPDU1;SOX15;FXR2	-0.0105	-0.00464285714285714	8.3449726249899e-55	1.93343284237345e-15	5.47153420418184e-70
chr4	76074019	76075734	1716	7	Open sea	Enhancers;Flanking Active TSS;Active TSS	Enhancers;Flanking Active TSS;Active TSS	ART3	-0.017	-0.00881428571428571	9.82239198828804e-53	6.07347999458944e-33	6.40859657075409e-70
chr3	160448959	160451133	2175	16	Shore;Island	Repressed PolyComb;Flanking Bivalent TSS/Enh;Weak Repressed PolyComb	Repressed PolyComb;Bivalent/Poised TSS;Flanking Bivalent TSS/Enh;Quiescent/Low	TRIM59;RP11-432B6.3;B3GAT3P1	0.0141	0.00311875	1.87067347785448e-38	2.89262399720006e-31	9.14044139857637e-70
chr7	881454	884346	2893	13	Shelf;Open sea	Enhancers;Genic enhancers	Enhancers		-0.0126	-0.0063	1.78180117377461e-55	1.30905808254259e-15	9.94921636452906e-70
chr20	57406360	57408673	2314	6	Shore;Island	Genic enhancers	Genic enhancers;Flanking Active TSS	RBM38	-0.0175	-0.00925	2.17112755284111e-67	1.12064124398434e-22	1.15152305038555e-69
chr19	19618238	19619451	1214	15	Shore;Island	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb	Bivalent/Poised TSS;Repressed PolyComb	PBX4	0.0227	0.00404	3.08336327924142e-19	1.20888465e-38	5.82824267608436e-69
chr1	236744656	236744763	108	3	Open sea	Genic enhancers	Strong transcription	ACTN2	-0.0153	-0.0134666666666667	3.21771647050714e-70	1.35994935215892e-27	6.12982931677597e-69
chr17	39670803	39672042	1240	3	Shelf	Genic enhancers;Flanking Bivalent TSS/Enh	Flanking Active TSS;Enhancers	PGAP3	-0.0139	-0.0100333333333333	2.64469918610404e-65	9.33515099999995e-39	7.76229897263658e-69
chr6	33277021	33280936	3916	62	Island;Shore;Shelf	Transcr. at gene 5' and 3';Active TSS;Flanking Active TSS;Genic enhancers	Flanking Active TSS;Genic enhancers;Strong transcription	B3GALT4;DAXX;RGL2;WDR46;VPS52;RPS18	0.007	0.00151290322580645	1.03162810939509e-27	8.00178818586522e-20	1.28198632654475e-68
chr3	39188538	39191365	2828	8	Open sea	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3';Flanking Active TSS	XIRP1	-0.0102	-0.0055125	1.38029010413949e-61	1.72574161016544e-17	2.70423849212501e-68
chr10	29538111	29538812	702	8	Open sea	Enhancers	Enhancers;Genic enhancers		-0.0158	-0.0095375	2.88583997212731e-51	1.28180366230159e-18	2.83217360329906e-68
chr16	2081716	2086966	5251	26	Shelf;Shore;Island	Genic enhancers;Strong transcription	Strong transcription	TSC2	-0.0109	-0.000215384615384615	1.80717958580823e-40	8.49080378815503e-16	9.24977384249172e-68
chr6	33189001	33199188	10188	83	Shelf;Shore;Island	Weak Repressed PolyComb;Bivalent Enhancer;Flanking Bivalent TSS/Enh;Flanking Active TSS;Active TSS;Strong transcription;Genic enhancers	Quiescent/Low;Weak Repressed PolyComb;Repressed PolyComb;Bivalent Enhancer;Enhancers;Flanking Active TSS;Active TSS;Weak transcription;Strong transcription;Genic enhancers	COL11A2;RXRB;SLC39A7;RNY4P10	-0.0146	-3.13253012048193e-05	3.27571630924431e-25	1.88167225e-34	1.09849802598009e-67
chr12	120759376	120760643	1268	4	Open sea	Enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	RP11-173P15.7	-0.0215	-0.011075	4.70189251077866e-46	5.1236674249283e-35	2.69567256096774e-65
chr14	64212610	64216193	3584	16	Open sea	Strong transcription;Weak transcription;Enhancers;Active TSS;Transcr. at gene 5' and 3'	Genic enhancers;Transcr. at gene 5' and 3'	ESR2;SYNE2	-0.0167	-0.006625	5.20157776210058e-54	3.33923981369263e-15	5.93615084710579e-65
chr17	65557462	65559598	2137	9	Shelf;Shore	Flanking Active TSS;Transcr. at gene 5' and 3';NA;Active TSS	Flanking Active TSS;Active TSS	CTD-2535L24.2;AXIN2	-0.0152	-0.0063	1.54225326956909e-50	1.72295639999209e-26	6.34869321568136e-65
chr11	62805597	62806930	1334	13	Island;Shore	Active TSS;Flanking Active TSS	Active TSS;Flanking Active TSS;Enhancers	NXF1;STX5	-0.0101	-0.0031	1.66316847731222e-25	1.35688442945666e-26	8.01788928454969e-65
chr17	82830096	82833200	3105	11	Shelf;Shore;Island	Weak transcription;Flanking Active TSS;Active TSS;Enhancers;Transcr. at gene 5' and 3'	Weak transcription;Enhancers	TBCD;ZNF750	0.0173	0.00894545454545455	5.71932426203558e-65	2.31917863142384e-12	1.34797048811898e-64
chr7	97024304	97027045	2742	27	Island;Shore;Shelf	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb;Bivalent Enhancer	Flanking Bivalent TSS/Enh;Bivalent/Poised TSS;Repressed PolyComb;Bivalent Enhancer	DLX5	0.0102	0.0042	7.84157917323386e-56	2.80994716974201e-09	2.04490693661357e-64
chr19	2248302	2250561	2260	8	Shore;Island	Genic enhancers;Bivalent Enhancer	Weak transcription;Enhancers	SF3A2;AMH	-0.0112	-0.00545	2.48268354689913e-45	2.33968045140663e-21	3.17091206493182e-64
chr7	143315726	143316520	795	6	Open sea	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	CLCN1	-0.0133	-0.0069	5.87703005680588e-47	4.6930602e-42	3.53431133468682e-64
chr20	62563865	62564904	1040	4	Open sea	Transcr. at gene 5' and 3';Genic enhancers	Genic enhancers	MIR133A2;MIR1-1HG;LAMA5;MIR1-1HG-AS1	-0.0133	-0.008525	1.13602684206586e-63	1.48818513468111e-25	4.41622549516664e-64
chr1	228286002	228286231	230	4	Shore;Island	Strong transcription	Strong transcription	OBSCN	-0.0097	-0.006925	2.35689359956472e-65	1.40472211967082e-21	9.0317205654441e-64
chr7	101164822	101166715	1894	10	Island;Shore	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	Bivalent Enhancer;Flanking Bivalent TSS/Enh;Repressed PolyComb	PCOLCE-AS1;AP1S1;NAT16;VGF	0.0186	0.00344	1.46468521402189e-16	1.77782599263663e-32	1.38101094350634e-63
chr19	38466142	38466375	234	4	Island	Strong transcription	Strong transcription	RYR1	-0.0164	-0.012875	5.33534833143548e-59	7.2874e-35	2.33372266838044e-63
chr8	141425557	141428206	2650	10	Shore;Island	Genic enhancers;Strong transcription	Genic enhancers	PTP4A3	-0.0102	-0.00669	2.58741722968576e-59	7.55251505749506e-12	2.65505665249624e-63
chr10	72216155	72218938	2784	16	Island;Shore;Shelf	Active TSS;Flanking Active TSS;Enhancers	Active TSS;Flanking Active TSS;Enhancers	ASCC1;ANAPC16;DNAJB12	-0.0125	-0.00394375	2.68429255047466e-30	9.05735999671407e-24	4.02062576421982e-63
chr1	226982088	226983559	1472	5	Open sea	Genic enhancers	Genic enhancers		-0.0169	-0.01056	3.37392706394091e-62	2.85636458006872e-19	1.31098806728729e-62
chr17	50170008	50170028	21	2	Open sea	Transcr. at gene 5' and 3'	Genic enhancers	SGCA	-0.0135	-0.01155	2.16164576901371e-63	1.76963033491985e-33	1.45089981194559e-62
chr19	57526696	57527884	1189	10	Shore;Island	Flanking Active TSS;Active TSS	Flanking Active TSS;Active TSS	ZNF549	0.0209	0.00448	1.17365718308959e-13	2.118758e-44	1.45406686115809e-61
chr8	141431314	141431487	174	3	Shore	Genic enhancers	Genic enhancers		-0.0169	-0.0100333333333333	2.10663602532243e-47	3.077343e-49	2.33616788592737e-61
chr18	58861446	58863556	2111	14	Shelf;Shore;Island	Enhancers;Flanking Active TSS;Active TSS	Weak transcription;Enhancers;Flanking Active TSS;Active TSS	ZNF532	-0.0131	-0.00657857142857143	7.35883117494994e-37	1.03391566386398e-15	2.6772132681012e-61
chr12	120430664	120430785	122	2	Open sea	Weak Repressed PolyComb	Weak Repressed PolyComb		0.0172	0.0092	5.11891052173793e-32	6.821172e-63	2.8071866452861e-61
chr15	42410515	42412153	1639	4	Open sea	Strong transcription	Strong transcription;Genic enhancers	RP11-164J13.1;CAPN3	-0.0146	-0.0097	2.85380660326336e-51	7.2315454021095e-32	3.98578614374607e-61
chr17	74210602	74213016	2415	9	Shore;Island	Genic enhancers;Flanking Active TSS	Enhancers;Flanking Active TSS	MGC16275;TTYH2	-0.0112	-0.00378888888888889	9.41040804447023e-20	2.4855336e-37	4.56276311961959e-61
chr9	134438723	134440394	1672	4	Shore;Island	Weak transcription;Flanking Active TSS;Enhancers	Enhancers	RXRA	-0.0144	-0.0102	8.41920923117287e-59	1.31341039999999e-29	1.54205183039238e-60
chr19	4501092	4502772	1681	4	Open sea	Strong transcription	Strong transcription;Genic enhancers	HDGFRP2;PLIN4	-0.0097	-0.007725	5.84086656233149e-58	3.49417866854096e-25	1.77686322958165e-60
chr19	4890606	4891948	1343	8	Shore;Island	Quiescent/Low	Quiescent/Low;Enhancers	ARRDC5;AC027319.1	-0.0225	-0.0063125	1.06389237372869e-41	1.4265728e-30	3.16147686668833e-60
chr3	51706184	51708147	1964	10	Shore;Island	Strong transcription;Weak transcription;Enhancers;Weak Repressed PolyComb	Weak transcription;Active TSS;Quiescent/Low	GRM2	0.0126	0.00614	2.21105825224444e-55	3.49459237113726e-16	5.37825292940861e-60
